cod_provincia,provincia,anio,erogacion_tipo,erogaciones,total_pesos
22,Chaco,2005,Corrientes,Transferencias a la educación privada,25306297
22,Chaco,2005,Corrientes,Otras transferencias,13180569
22,Chaco,2005,De capital,De capital,46201788
22,Chaco,2006,Total,Total,747487778
22,Chaco,2006,Corrientes,Personal,637315272
22,Chaco,2006,Corrientes,Bienes y servicios no personales,0
22,Chaco,2006,Corrientes,Transferencias a la educación privada,32921271
22,Chaco,2006,Corrientes,Otras transferencias,17146763
22,Chaco,2006,De capital,De capital,60104471
22,Chaco,2007,Total,Total,1073947570
22,Chaco,2007,Corrientes,Personal,927685371
22,Chaco,2007,Corrientes,Bienes y servicios no personales,0
22,Chaco,2007,Corrientes,Transferencias a la educación privada,46663801
22,Chaco,2007,Corrientes,Otras transferencias,18038371
22,Chaco,2007,De capital,De capital,81560027
22,Chaco,2008,Total,Total,1524530427
22,Chaco,2008,Corrientes,Personal,1395046052
22,Chaco,2008,Corrientes,Bienes y servicios no personales,0
22,Chaco,2008,Corrientes,Transferencias a la educación privada,76607245
22,Chaco,2008,Corrientes,Otras transferencias,20855775
22,Chaco,2008,De capital,De capital,32021355
22,Chaco,2009,Total,Total,1913296705
22,Chaco,2009,Corrientes,Personal,1661815544
22,Chaco,2009,Corrientes,Bienes y servicios no personales,98677749
22,Chaco,2009,Corrientes,Transferencias a la educación privada,98576492
22,Chaco,2009,Corrientes,Otras transferencias,11937428
22,Chaco,2009,De capital,De capital,42289492
22,Chaco,2010,Total,Total,2353314080
22,Chaco,2010,Corrientes,Personal,1995860837
22,Chaco,2010,Corrientes,Bienes y servicios no personales,101517897
22,Chaco,2010,Corrientes,Transferencias a la educación privada,129598242
22,Chaco,2010,Corrientes,Otras transferencias,71489353
22,Chaco,2010,De capital,De capital,54847752
22,Chaco,2011,Total,Total,3170716392
22,Chaco,2011,Corrientes,Personal,2650767518
22,Chaco,2011,Corrientes,Bienes y servicios no personales,176756463
22,Chaco,2011,Corrientes,Transferencias a la educación privada,161346967
22,Chaco,2011,Corrientes,Otras transferencias,97229598
22,Chaco,2011,De capital,De capital,84615846
26,Chubut,2003,Total,Total,233849426
26,Chubut,2003,Corrientes,Personal,213104449
26,Chubut,2003,Corrientes,Bienes y servicios no personales,9647361
26,Chubut,2003,Corrientes,Transferencias a la educación privada,8921379
26,Chubut,2003,Corrientes,Otras transferencias,2156336
26,Chubut,2003,De capital,De capital,19902
26,Chubut,2004,Total,Total,308734613
26,Chubut,2004,Corrientes,Personal,280643544
26,Chubut,2004,Corrientes,Bienes y servicios no personales,11739622
26,Chubut,2004,Corrientes,Transferencias a la educación privada,11373166
26,Chubut,2004,Corrientes,Otras transferencias,2918600
26,Chubut,2004,De capital,De capital,2059681
26,Chubut,2005,Total,Total,413520234
26,Chubut,2005,Corrientes,Personal,380543969
26,Chubut,2005,Corrientes,Bienes y servicios no personales,11540938
26,Chubut,2005,Corrientes,Transferencias a la educación privada,15344258
26,Chubut,2005,Corrientes,Otras transferencias,4057628
26,Chubut,2005,De capital,De capital,2033441
26,Chubut,2006,Total,Total,549289455
26,Chubut,2006,Corrientes,Personal,458886251
26,Chubut,2006,Corrientes,Bienes y servicios no personales,22024276
26,Chubut,2006,Corrientes,Transferencias a la educación privada,16264787
26,Chubut,2006,Corrientes,Otras transferencias,6640919
26,Chubut,2006,De capital,De capital,45473223
26,Chubut,2007,Total,Total,712238458
26,Chubut,2007,Corrientes,Personal,560391911
26,Chubut,2007,Corrientes,Bienes y servicios no personales,20505080
26,Chubut,2007,Corrientes,Transferencias a la educación privada,16637992
26,Chubut,2007,Corrientes,Otras transferencias,12603057
26,Chubut,2007,De capital,De capital,102100417
26,Chubut,2008,Total,Total,936961058
26,Chubut,2008,Corrientes,Personal,734242630
26,Chubut,2008,Corrientes,Bienes y servicios no personales,42436935
26,Chubut,2008,Corrientes,Transferencias a la educación privada,31507388
26,Chubut,2008,Corrientes,Otras transferencias,10406170
26,Chubut,2008,De capital,De capital,118367934
26,Chubut,2009,Total,Total,1096922638
26,Chubut,2009,Corrientes,Personal,871231738
26,Chubut,2009,Corrientes,Bienes y servicios no personales,44334928
26,Chubut,2009,Corrientes,Transferencias a la educación privada,34930793
26,Chubut,2009,Corrientes,Otras transferencias,12998287
26,Chubut,2009,De capital,De capital,133426893
26,Chubut,2010,Total,Total,1456604055
26,Chubut,2010,Corrientes,Personal,1145340901
26,Chubut,2010,Corrientes,Bienes y servicios no personales,62321772
26,Chubut,2010,Corrientes,Transferencias a la educación privada,44599511
26,Chubut,2010,Corrientes,Otras transferencias,13308402
26,Chubut,2010,De capital,De capital,191033470
26,Chubut,2011,Total,Total,1878054921
26,Chubut,2011,Corrientes,Personal,1483477917
26,Chubut,2011,Corrientes,Bienes y servicios no personales,73608487
26,Chubut,2011,Corrientes,Transferencias a la educación privada,61523763
26,Chubut,2011,Corrientes,Otras transferencias,19702823
26,Chubut,2011,De capital,De capital,239741931
14,Córdoba,2003,Total,Total,863828774
14,Córdoba,2003,Corrientes,Personal,630389252
14,Córdoba,2003,Corrientes,Bienes y servicios no personales,25914683
14,Córdoba,2003,Corrientes,Transferencias a la educación privada,195975133
14,Córdoba,2003,Corrientes,Otras transferencias,6920024
14,Córdoba,2003,De capital,De capital,4629681
14,Córdoba,2004,Total,Total,1002576182
14,Córdoba,2004,Corrientes,Personal,703907994
14,Córdoba,2004,Corrientes,Bienes y servicios no personales,28119892
14,Córdoba,2004,Corrientes,Transferencias a la educación privada,230198714
14,Córdoba,2004,Corrientes,Otras transferencias,35295549
14,Córdoba,2004,De capital,De capital,5054032
14,Córdoba,2005,Total,Total,1357948961
14,Córdoba,2005,Corrientes,Personal,956889452
14,Córdoba,2005,Corrientes,Bienes y servicios no personales,47845067
14,Córdoba,2005,Corrientes,Transferencias a la educación privada,316075092
14,Córdoba,2005,Corrientes,Otras transferencias,22541656
14,Córdoba,2005,De capital,De capital,14597694
14,Córdoba,2006,Total,Total,1723788631
14,Córdoba,2006,Corrientes,Personal,1218577929
14,Córdoba,2006,Corrientes,Bienes y servicios no personales,44391985
14,Córdoba,2006,Corrientes,Transferencias a la educación privada,407797464
14,Córdoba,2006,Corrientes,Otras transferencias,19904672
14,Córdoba,2006,De capital,De capital,33116580
14,Córdoba,2007,Total,Total,2245320024
14,Córdoba,2007,Corrientes,Personal,1583671974
14,Córdoba,2007,Corrientes,Bienes y servicios no personales,53651082
14,Córdoba,2007,Corrientes,Transferencias a la educación privada,523042099
14,Córdoba,2007,Corrientes,Otras transferencias,24282372
14,Córdoba,2007,De capital,De capital,60672497
14,Córdoba,2008,Total,Total,3268523126
14,Córdoba,2008,Corrientes,Personal,2326186790
14,Córdoba,2008,Corrientes,Bienes y servicios no personales,110804165
14,Córdoba,2008,Corrientes,Transferencias a la educación privada,761336351
14,Córdoba,2008,Corrientes,Otras transferencias,35198802
14,Córdoba,2008,De capital,De capital,34997018
14,Córdoba,2009,Total,Total,3964230676
14,Córdoba,2009,Corrientes,Personal,2812868317
14,Córdoba,2009,Corrientes,Bienes y servicios no personales,89363336
